area_id,centroid_x,centroid_y,time_bin,crime_count,year,month
72,1163974.6939294208,1838749.8368157928,2001-04-01,142,2001,4
73,1171110.1595550596,1840388.6295198626,2001-04-01,355,2001,4
74,1153615.4194916761,1832015.3475791754,2001-04-01,96,2001,4
75,1165684.4159703245,1830228.9771308429,2001-04-01,294,2001,4
76,1103795.0892087778,1934035.936059137,2001-04-01,217,2001,4
77,1166380.2824219316,1938460.0065355555,2001-04-01,459,2001,4
1,1164480.3670969477,1946794.6658478852,2001-05-01,705,2001,5
2,1157749.8280517957,1943809.189041452,2001-05-01,461,2001,5
3,1168489.7751756336,1930860.1225962283,2001-05-01,704,2001,5
4,1159860.137089553,1934204.1330181102,2001-05-01,319,2001,5
5,1160936.58458251,1924234.5553939813,2001-05-01,305,2001,5
6,1168519.473651409,1922994.077535171,2001-05-01,818,2001,5
7,1170352.9929011667,1915158.7952642099,2001-05-01,671,2001,5
8,1174825.1205699488,1906782.4280028404,2001-05-01,1399,2001,5
9,1125454.3090479926,1945792.4921583226,2001-05-01,44,2001,5
10,1128312.2524238112,1937657.1844246434,2001-05-01,161,2001,5
11,1137104.9560430117,1935376.9598655892,2001-05-01,159,2001,5
12,1140551.95479361,1940902.8186030814,2001-05-01,73,2001,5
13,1150030.6522368554,1937217.0784950166,2001-05-01,129,2001,5
14,1150621.491422269,1931548.2057546456,2001-05-01,365,2001,5
15,1139277.1379005318,1926353.022610638,2001-05-01,535,2001,5
16,1150144.1735739347,1926265.4662503854,2001-05-01,475,2001,5
17,1127700.6737139402,1923539.8756414857,2001-05-01,241,2001,5
18,1129912.8614435624,1917280.5174140923,2001-05-01,101,2001,5
19,1138769.8261094554,1916595.390082971,2001-05-01,702,2001,5
20,1147148.2658771966,1915590.506238743,2001-05-01,256,2001,5
21,1153513.5391738585,1920853.995915648,2001-05-01,429,2001,5
22,1156836.3469266074,1915082.0084118515,2001-05-01,1034,2001,5
23,1150972.7668141976,1906770.342059686,2001-05-01,1263,2001,5
24,1163101.1946640266,1907274.5603450881,2001-05-01,1416,2001,5
25,1139501.4455203577,1904515.317302641,2001-05-01,2544,2001,5
26,1148492.0800920937,1898926.8208310378,2001-05-01,601,2001,5
27,1155118.4720060378,1899090.9879511695,2001-05-01,648,2001,5
28,1166673.6370903612,1897389.3366012694,2001-05-01,1293,2001,5
29,1152083.8689112775,1892245.4895438715,2001-05-01,1105,2001,5
30,1153015.4749217809,1884561.8899471175,2001-05-01,743,2001,5
31,1165637.2199076533,1888730.3063228142,2001-05-01,490,2001,5
32,1177096.9672659107,1899244.1743320609,2001-05-01,875,2001,5
33,1178485.438118167,1891354.3372206932,2001-05-01,298,2001,5
34,1174814.7645357142,1885818.5583101348,2001-05-01,174,2001,5
35,1179003.7146051468,1883317.3478258073,2001-05-01,791,2001,5
36,1183252.4657469783,1879210.3935520067,2001-05-01,112,2001,5
